Date & Time,Solve Time
M 02 2015 08:09:45 PM,00:41.01
M 02 2015 08:08:35 PM,00:36.23
M 02 2015 08:07:31 PM,00:33.00
M 02 2015 08:06:31 PM,00:27.53
M 02 2015 08:05:23 PM,00:30.47
M 02 2015 08:04:19 PM,00:26.78
M 02 2015 08:03:21 PM,00:29.30
M 02 2015 12:38:16 PM,00:32.36
M 02 2015 12:36:00 PM,00:31.58
M 02 2015 12:34:01 PM,00:27.39
M 02 2015 12:32:50 PM,00:29.88
M 02 2015 12:31:40 PM,00:39.01
M 02 2015 12:30:40 PM,00:29.78
M 02 2015 12:29:36 PM,00:25.31
M 02 2015 12:28:27 PM,00:30.88
M 02 2015 09:47:07 AM,00:33.64
M 02 2015 09:27:42 AM,00:30.63
M 02 2015 09:26:25 AM,00:31.46
M 02 2015 09:20:25 AM,00:30.99
M 02 2015 09:06:37 AM,00:32.49
M 01 2015 09:05:32 PM,00:33.65
M 01 2015 09:04:24 PM,00:31.48
M 01 2015 09:03:07 PM,00:35.04
M 01 2015 09:02:04 PM,00:28.69
M 01 2015 09:00:49 PM,00:38.13
M 01 2015 08:59:44 PM,00:33.52
M 01 2015 08:58:50 PM,00:36.66
M 01 2015 08:55:34 PM,00:36.48
M 01 2015 08:54:24 PM,00:39.10
M 01 2015 08:53:18 PM,00:34.36
F 27 2015 03:56:03 PM,00:32.81
F 27 2015 03:54:59 PM,00:36.71
F 27 2015 03:53:23 PM,00:33.59
F 27 2015 03:43:21 PM,00:39.04
F 27 2015 03:42:06 PM,00:39.38
F 27 2015 03:30:21 PM,00:36.70
F 27 2015 03:28:57 PM,00:34.87
F 27 2015 03:27:40 PM,00:42.59
F 26 2015 09:50:27 PM,00:40.29
F 26 2015 09:49:28 PM,00:30.85
F 26 2015 09:48:28 PM,00:30.07
F 26 2015 09:47:37 PM,00:25.98
F 26 2015 09:46:36 PM,00:39.19
F 26 2015 09:45:43 PM,00:28.18
F 26 2015 09:44:45 PM,00:26.77
F 26 2015 09:43:35 PM,00:38.20
F 26 2015 09:42:04 PM,00:36.26
F 26 2015 09:40:57 PM,00:40.84
F 26 2015 09:38:51 PM,00:31.50
F 26 2015 09:37:59 PM,00:31.17
F 26 2015 09:36:45 PM,00:32.36
F 26 2015 09:35:34 PM,00:40.43
F 26 2015 09:34:44 PM,00:32.40
F 26 2015 09:33:48 PM,00:31.39
F 26 2015 12:25:56 PM,00:36.44
F 26 2015 12:24:50 PM,00:37.94
F 26 2015 12:23:35 PM,00:41.34
F 26 2015 12:20:57 PM,00:39.26
F 26 2015 12:19:49 PM,00:42.75
F 26 2015 12:18:36 PM,00:37.17
F 26 2015 12:17:23 PM,00:39.90
F 26 2015 11:38:53 AM,00:42.37
